Номер ф-ции; Точка минимума; Знач ф-ции; Кол-во точек; Ист.знач.минимума; Ист.знач.ф-ции; Погрешность по x;Погрешность по f 
283;4.99697;-2.46884;30;4.996;-2.46886;0.000973984;2.08743e-05
284;4.59209;-1.82792;29;7.468;-2.42642;2.87591;0.598505
285;1.13657;-1.73992;42;7.531;-1.92053;6.39443;0.180609
286;1.7493;-1.94604;30;7.33;-1.98681;5.5807;0.0407699
287;0.161452;-2.05754;34;0.163;-2.05756;0.00154818;2.41151e-05
288;1.95398;-3.00579;26;1.951;-3.00597;0.0029812;0.000183725
289;6.58551;-2.63146;38;6.587;-2.63146;0.00149486;2.32747e-06
290;1.10579;-2.28558;30;1.111;-2.28643;0.00521413;0.000847035
291;0.108106;-0.996916;78;7.583;-2.58002;7.47489;1.5831
292;3.15961;-3.01492;28;3.159;-3.01495;0.000614806;2.94717e-05
293;0.732701;-2.00276;24;0.731;-2.00282;0.00170065;5.76299e-05
294;5.90244;-2.07338;37;5.903;-2.07338;0.000563778;2.06683e-06
295;5.6627;-1.95891;28;7.22;-2.47027;1.5573;0.511356
296;4.62096;-1.74186;27;4.62;-1.74187;0.000962049;1.18358e-05
297;6.06815;-1.97743;38;9.6;-2.49168;3.53185;0.514248
298;6.82543;-1.86037;37;7.89;-1.96319;1.06457;0.102818
299;1.10584;-1.11918;73;8.564;-3.38846;7.45816;2.26928
300;4.28421;-2.01298;24;4.285;-2.01299;0.000786866;1.12731e-05
301;4.58673;-2.20032;20;4.585;-2.20036;0.00172747;3.99876e-05
302;4.88373;-1.13918;91;8.334;-3.99316;3.45027;2.85398
303;5.15041;-1.3602;44;8.6;-2.15807;3.44959;0.797875
304;3.07664;-3.57557;27;3.079;-3.5757;0.00236153;0.000130297
305;2.65997;-1.86437;32;9.25;-2.42949;6.59003;0.565122
306;2.25659;-2.45402;29;2.258;-2.4541;0.00140508;8.13866e-05
307;5.83185;-2.90795;26;5.83;-2.90799;0.00184536;3.53588e-05
308;6.18718;-2.91067;22;6.187;-2.91067;0.000184762;4.41553e-06
309;2.90336;-1.9314;34;2.898;-1.93164;0.00535708;0.000236782
310;0.145528;-1.74365;36;8.298;-1.74865;8.15247;0.00499931
311;1.32519;-2.28423;26;1.326;-2.28426;0.000807424;3.20507e-05
312;5.78987;-2.75139;24;5.796;-2.75192;0.00612538;0.000532505
313;1.11309;-2.36154;24;1.113;-2.36154;9.31352e-05;1.43351e-06
314;2.08883;-1.63845;32;7.264;-1.82193;5.17517;0.183484
315;4.35432;-1.67623;40;9.807;-2.31381;5.45268;0.637581
316;6.70845;-2.18476;26;6.71;-2.18482;0.00154894;5.60878e-05
317;0.0487765;-2.02095;27;0.045;-2.02123;0.00377654;0.000275856
318;4.39978;-2.01578;32;4.392;-2.01678;0.00778145;0.000995105
319;0.260196;-1.87785;26;8.124;-1.88425;7.8638;0.00639691
320;3.97472;-2.02769;32;3.982;-2.02912;0.00728403;0.00143416
321;3.03316;-1.27674;64;8.193;-2.47899;5.15984;1.20225
322;0.638327;-1.72547;30;0.636;-1.72551;0.00232656;4.24671e-05
323;3.02743;-1.6805;35;7.776;-1.84825;4.74857;0.16775
324;0.65724;-2.46153;44;0.652;-2.4618;0.00524003;0.00027131
325;0.979562;-1.6156;44;8.349;-2.14111;7.36944;0.525509
326;3.76491;-2.77183;30;3.768;-2.77204;0.00309156;0.000207515
327;3.56097;-2.696;28;3.561;-2.69602;2.96896e-05;2.0863e-05
328;5.2619;-2.25035;34;5.268;-2.2508;0.00610283;0.000451811
329;6.9614;-1.96821;30;6.962;-1.96821;0.000599514;1.17729e-06
330;5.32811;-1.82374;44;9.434;-2.86672;4.10589;1.04298
331;0.765579;-2.18577;34;0.761;-2.18603;0.00457851;0.000259352
332;1.76173;-2.07527;30;1.76;-2.07538;0.00172505;0.000108243
333;1.71902;-2.34653;26;1.72;-2.34657;0.000976505;3.53409e-05
334;4.58533;-2.41419;42;4.581;-2.41438;0.00432843;0.000190178
335;1.3792;-2.75732;35;1.376;-2.75743;0.00319957;0.000106977
336;5.68024;-2.24595;31;5.677;-2.24619;0.00324456;0.000242507
337;3.14795;-2.75764;28;3.15;-2.75772;0.00204522;7.52551e-05
338;0.67642;-2.33964;34;0.68;-2.33978;0.00358015;0.00013727
339;2.35235;-3.40877;22;2.347;-3.40931;0.00535027;0.000541437
340;2.65238;-1.77731;39;2.652;-1.77731;0.000376654;1.49703e-06
341;1.28971;-2.08596;24;1.287;-2.08611;0.00270591;0.000146675
342;2.59871;-1.6946;31;2.603;-1.69484;0.00429154;0.000235355
343;2.60687;-1.93787;28;2.606;-1.93787;0.000872578;3.04304e-07
344;5.91267;-2.03114;26;5.908;-2.03131;0.00467496;0.000166356
345;5.99433;-2.23553;28;5.991;-2.23569;0.00332561;0.000162287
346;1.90778;-2.05326;32;1.912;-2.05355;0.00422321;0.000286568
347;6.82398;-1.11712;58;9.699;-3.11315;2.87502;1.99603
348;4.40232;-3.15032;29;4.403;-3.15033;0.000676082;7.47923e-06
349;4.04933;-1.80921;34;4.051;-1.80924;0.00166658;2.87496e-05
350;3.7273;-1.30948;74;7.978;-4.3147;4.2507;3.00522
351;5.50896;-2.27946;30;5.504;-2.2799;0.00496389;0.000436629
352;1.15793;-1.83963;36;1.161;-1.83977;0.00306562;0.000139969
353;2.35438;-2.22497;32;2.35;-2.22546;0.00437822;0.000494087
354;6.44322;-1.76147;38;7.744;-1.77689;1.30078;0.0154221
355;5.14561;-2.28483;30;5.151;-2.2852;0.00538845;0.000366942
356;2.4244;-2.13039;28;2.426;-2.13041;0.00159565;1.59875e-05
357;6.0605;-2.00072;34;6.064;-2.001;0.0034973;0.000277388
358;0.104181;-1.60455;44;7.923;-1.64848;7.81882;0.0439257
359;2.13566;-1.71792;40;2.136;-1.71792;0.000335852;1.35161e-06
360;6.3027;-1.79887;34;6.307;-1.79894;0.00430345;6.85583e-05
361;3.71514;-2.14114;25;3.714;-2.14114;0.00114332;3.37671e-06
362;4.13918;-2.00887;28;7.43;-2.02233;3.29082;0.013464
363;6.128;-1.73548;42;8.711;-1.97628;2.583;0.240804
364;3.44869;-2.74081;26;3.455;-2.74133;0.00630842;0.000515629
365;6.01353;-2.03567;28;6.015;-2.03574;0.00146603;7.12216e-05
366;1.14365;-2.48757;34;1.142;-2.4876;0.00165278;2.56705e-05
